timestamp,ticker,title,ask_price_cents,fair_prob_pct,ev_percent,contracts_bought,wager_amount,line_source,status,result,pnl
2026-07-22 16:40:10,KXMLBGAME-26JUL221907TBTOR-TB,Tampa Bay vs Toronto Winner?,49.0,51.5,5.1,10,4.9,Pinnacle ML (Tampa Bay Rays -112 / Toronto Blue Jays +101),finalized,YES,5.10
2026-07-23 12:21:09,KXMLBGAME-26JUL251915CINSTL-STL,Cincinnati vs St. Louis Winner?,51.0,52.5,3.03,6,3.06,Pinnacle ML (St. Louis Cardinals -115 / Arizona Diamondbacks +107),finalized,YES,2.94
2026-07-25 20:01:32,KXMLSGAME-26JUL25SDDAL-DAL,San Diego FC vs Dallas Winner?,34.0,34.3,0.88,1,0.34,Pinnacle 3-Way Away (+182),finalized,NO,-0.34
2026-07-25 20:01:34,KXMLSGAME-26JUL25MINVAN-VAN,Minnesota vs Vancouver Winner?,43.99999999999999,45.2,2.63,4,1.76,Pinnacle 3-Way Away (+109),finalized,NO,-1.76
2026-07-25 20:03:51,KXMLBGAME-26JUL272140BOSATH-BOS,Boston vs A's Winner?,54.0,55.4,2.59,5,2.7,Pinnacle ML (Boston Red Sox -131 / Toronto Blue Jays +119),PENDING,PENDING,0.00
2026-07-25 20:03:52,KXMLBGAME-26JUL272145MILSF-SF,Milwaukee vs San Francisco Winner?,48.0,51.5,7.29,14,6.72,Pinnacle ML (San Francisco Giants -112 / Los Angeles Angels +101),PENDING,PENDING,0.00
2026-07-25 20:03:54,KXMLBGAME-26JUL271910CLECIN-CLE,Cleveland vs Cincinnati Winner?,42.00000000000001,44.3,5.55,9,3.78,Pinnacle ML (Cleveland Guardians +120 / Tampa Bay Rays -133),PENDING,PENDING,0.00
2026-07-27 00:22:31,KXMLBGAME-26JUL292140BOSATH-BOS,Boston vs A's Winner?,59.0,60.5,2.61,6,3.54,Pinnacle ML (Boston Red Sox -164 / Athletics +147),PENDING,PENDING,0.00
2026-07-27 00:22:40,KXMLBGAME-26JUL291305TORWSH-WSH,Toronto vs Washington Winner?,52.0,55.0,5.78,12,6.24,Pinnacle ML (Washington Nationals -129 / Toronto Blue Jays +117),PENDING,PENDING,0.00
2026-07-27 00:22:44,KXMLBGAME-26JUL282140BOSATH-BOS,Boston vs A's Winner?,57.0,60.5,6.22,14,7.98,Pinnacle ML (Boston Red Sox -164 / Athletics +147),PENDING,PENDING,0.00
2026-07-27 00:22:50,KXMLBGAME-26JUL281840AZPIT-AZ,Arizona vs Pittsburgh Winner?,51.0,54.1,6.1,12,6.12,Pinnacle ML (Seattle Mariners -124 / Texas Rangers +113),PENDING,PENDING,0.00
2026-07-27 00:22:50,KXMLBGAME-26JUL281840BALDET-BAL,Baltimore vs Detroit Winner?,44.99999999999999,48.3,7.27,13,5.85,Pinnacle ML (Baltimore Orioles +102 / Detroit Tigers -113),PENDING,PENDING,0.00
2026-07-27 15:43:17,KXMLBGAME-26JUL291235AZPIT-AZ,Arizona vs Pittsburgh Winner?,47.0,48.4,2.89,5,2.35,Pinnacle ML (Arizona Diamondbacks +103 / Pittsburgh Pirates -111),PENDING,PENDING,0.00
2026-07-27 15:43:18,KXMLBGAME-26JUL291210PHIMIA-PHI,Philadelphia vs Miami Winner?,59.0,62.3,5.64,13,7.67,Pinnacle ML (Philadelphia Phillies -175 / Miami Marlins +160),PENDING,PENDING,0.00
2026-07-27 15:43:27,KXMLBGAME-26JUL281845TORWSH-TOR,Toronto vs Washington Winner?,43.00000000000001,46.3,7.63,13,5.59,Pinnacle ML (Toronto Blue Jays +112 / Washington Nationals -121),PENDING,PENDING,0.00
